,day,timestep,IND,AAA,BBB,CCC,DDD,ETF
140,1,140,98.87,196.98,296.77,239.77,147.18,220.18
141,1,141,98.98,197.2,296.16,240.37,146.87,220.15
142,1,142,98.88,196.85,296.51,239.7,146.84,219.97
143,1,143,98.79,196.45,298,240.3,147.03,220.44
144,1,144,98.6,195.3,299.05,240.22,146.95,220.37
145,1,145,98.65,195.59,298.68,240.98,146.79,220.48
146,1,146,98.75,195.6,298.56,240.33,146.59,220.24
147,1,147,98.72,195.48,299.13,239.51,146.35,220.11
148,1,148,98.64,195.27,298.32,240.17,146.24,219.99
149,1,149,98.57,194.82,297.23,240.03,145.84,219.46
150,1,150,98.7,195.47,297.52,240.2,146.37,219.88
151,1,151,98.69,195.69,297.94,240.61,146.6,220.2
152,1,152,98.6,195.27,297.9,241.52,146.78,220.38
153,1,153,98.63,195.76,296.79,242.81,146.81,220.55
154,1,154,98.63,195.78,297.23,243.57,146.48,220.77
155,1,155,98.62,195.89,297.25,243.05,146.51,220.68
156,1,156,98.55,195.55,296.66,242.3,145.97,220.12
157,1,157,98.54,195.33,297.05,242.47,145.76,220.15
158,1,158,98.53,195.33,297.22,242.39,145.95,220.23
159,1,159,98.56,195.11,297.61,242.6,146.22,220.4
160,1,160,98.53,194.98,297.07,242.16,146.41,220.16
161,1,161,98.57,195.24,296.58,242.37,145.89,220.03
162,1,162,98.51,195.25,297.02,243.21,146.11,220.41
163,1,163,98.55,195.26,297.02,242.82,146.62,220.44
164,1,164,98.55,195.2,296.05,242.17,146.77,220.07
165,1,165,98.62,195.32,296.76,243.17,146.79,220.53
166,1,166,98.54,194.88,296.98,243.64,147.15,220.69
167,1,167,98.38,194.48,295.94,243.56,146.61,220.17
168,1,168,98.18,194.16,295.88,243.08,146.58,219.96
169,1,169,98.31,194.13,294.59,243.04,146.63,219.64
170,1,170,98.26,194.11,295.03,244.08,146.78,220.05
171,1,171,98.12,193.43,295.14,242.57,146.45,219.46
172,1,172,98.06,193.22,294.63,242.68,146.16,219.23
173,1,173,98.19,193.33,294.4,242.61,146,219.15
174,1,174,98.27,193.02,294.54,243,145.67,219.12
175,1,175,98.35,193.21,294.95,242.99,146.1,219.36
176,1,176,98.2,192.5,295.79,242.32,146.2,219.26
177,1,177,98.09,192.26,295.14,242.56,145.96,219.04
178,1,178,98.11,192.7,294.43,241.32,145.75,218.61
179,1,179,98.21,192.89,294.18,241.12,145.73,218.52
180,1,180,98.12,192.61,294.06,240.9,146.05,218.44
181,1,181,98.15,192.77,293.3,241.34,146.27,218.45
182,1,182,98.19,193.1,291.56,241.98,146.37,218.28
183,1,183,98.17,193.31,291.47,241.84,146.32,218.27
184,1,184,98.17,193.1,292.79,242.3,146.52,218.71
185,1,185,98.16,192.89,292.53,242.46,146.57,218.64
186,1,186,98.13,193.22,293.21,243.25,146.55,219.09
187,1,187,98.14,192.95,293.54,243.77,146.52,219.22
188,1,188,98.13,192.95,293.94,243.53,146.8,219.31
189,1,189,98.07,193.05,293.73,244.12,146.82,219.43
190,1,190,97.96,192.65,294.49,244.19,146.66,219.5
191,1,191,98.03,192.72,295.35,243.67,146.5,219.55
192,1,192,98.01,193.07,294.48,243.57,146.61,219.42
193,1,193,98.03,192.86,294.63,243.45,146.34,219.31
194,1,194,98.17,193.3,294.92,243.2,145.95,219.33
195,1,195,98.13,193.19,295.52,243.3,145.95,219.48
196,1,196,98.19,193.3,295.5,242.09,145.75,219.16
197,1,197,98.08,192.88,294.95,242.81,145.9,219.13
198,1,198,98.13,192.88,294.44,242.95,145.75,219
199,1,199,98.16,193.33,294.02,243.15,146.07,219.13
200,1,200,98.23,193.71,294.14,242.47,146.61,219.22
201,1,201,98.28,194.32,294.55,241.63,146.59,219.26
202,1,202,98.29,194,294.12,241.82,146.76,219.17
203,1,203,98.38,194.7,294.09,241.14,146.67,219.15
204,1,204,98.48,194.9,293.29,241.06,146.66,218.98
205,1,205,98.67,195.01,293.42,241.16,146.46,219.02
206,1,206,98.9,195.38,293.75,241.96,145.86,219.25
207,1,207,98.85,195.19,293.68,242.37,146.07,219.34
208,1,208,98.83,195.12,294.04,241.61,146.71,219.37
209,1,209,98.85,195.25,294.28,241.14,146.76,219.36
210,1,210,98.91,195.34,293.54,240.51,147.13,219.12
211,1,211,98.77,195.46,293.98,241.2,147.07,219.43
212,1,212,98.8,196.18,293.57,242.11,146.91,219.7
213,1,213,98.88,196.53,292.51,242.91,146.36,219.6
214,1,214,98.88,196.44,292.72,242.06,146.08,219.36
215,1,215,98.93,196.43,292.3,241.54,146.15,219.12
216,1,216,98.82,196.29,292.79,242.06,146.66,219.47
217,1,217,98.78,196.41,292.59,242.74,146.57,219.62
218,1,218,98.8,196.64,293.36,243.27,146.67,220.03
219,1,219,98.73,196.58,294.21,243.37,146.45,220.2
220,1,220,98.78,196.79,294.72,243.49,146.66,220.47
221,1,221,98.85,196.74,295.17,244.01,146.5,220.67
222,1,222,98.88,196.67,296.4,243.72,146.95,220.99
223,1,223,98.9,197.63,296.82,243.11,147.35,221.28
224,1,224,98.92,197.25,298.34,243.76,147.06,221.64
225,1,225,98.8,197.19,298.17,243.95,146.78,221.57
226,1,226,98.9,197.24,298.29,243.69,146.94,221.59
227,1,227,98.85,197.44,298.14,243.19,147.05,221.51
228,1,228,98.97,197.63,297.51,243.55,146.85,221.45
229,1,229,99.19,197.86,298.07,244.11,146.9,221.79
230,1,230,99.29,197.31,298.9,245.42,146.49,222.08
231,1,231,99.42,197.82,297.94,245.39,146.51,221.97
232,1,232,99.48,198.15,298.39,245.15,146.66,222.14
233,1,233,99.7,198.75,297.14,245.71,146.49,222.07
234,1,234,99.73,199.15,297.6,246.89,146.96,222.7
235,1,235,99.74,199.12,298.59,246.59,147.26,222.95
236,1,236,99.6,198.69,298.85,246.65,147.27,222.92
237,1,237,99.67,198.98,299.92,246.65,147.67,223.36
238,1,238,99.68,198.67,299.22,246.04,147.39,222.9
239,1,239,99.76,198.79,299.37,247.08,147.68,223.32
240,1,240,99.71,199.16,298.74,247.34,147.85,223.35
241,1,241,99.74,198.94,298.04,247.24,147.83,223.1
242,1,242,99.89,199.22,297.57,247.73,148.11,223.24
243,1,243,99.87,198.99,298.4,247.96,148.49,223.55
244,1,244,99.76,198.9,298.21,248.31,148.42,223.56
245,1,245,99.71,199.05,297.75,250.02,148.74,223.99
246,1,246,99.67,199.23,298.56,249.49,148.1,223.94
247,1,247,99.81,199.13,299.94,248.95,148.5,224.22
248,1,248,99.76,199.08,300.08,250.3,148.36,224.55
249,1,249,99.81,199.6,299.77,249.57,148.5,224.45
250,1,250,99.88,200.09,299.82,249.85,148.62,224.69
251,1,251,99.95,200.4,299.41,250.08,148.21,224.62
252,1,252,99.93,200.39,300.05,250.38,147.97,224.78
253,1,253,99.82,200.22,301.01,249,148.22,224.67
254,1,254,99.8,199.96,300.62,249.46,148.4,224.68
255,1,255,99.78,200,300.52,249.17,148.68,224.65
256,1,256,99.68,200,300.2,248.94,148.98,224.59
257,1,257,99.65,199.69,301.5,249.86,148.74,225
258,1,258,99.7,199.8,300.79,250.45,148.94,225.05
259,1,259,99.74,200.04,300.6,250.21,148.85,224.98
260,1,260,99.77,199.99,300.83,249.76,148.96,224.92
261,1,261,99.79,200.07,300.34,250.3,149.38,225.06
262,1,262,99.88,199.91,300.75,249.71,149.14,224.92
263,1,263,99.94,200.19,300.1,250.06,148.57,224.76
264,1,264,100,200.44,299.65,249.97,148.44,224.66
265,1,265,99.97,200.07,299.65,250.73,148.78,224.84
266,1,266,99.93,200.21,301.47,250.52,148.95,225.33
267,1,267,100,200.3,301.96,251.36,149.01,225.71
268,1,268,99.9,199.84,302.39,249.8,148.55,225.18
269,1,269,99.74,199.05,302.48,249.44,148.97,225.03
270,1,270,99.69,198.66,303.1,249.54,148.34,224.95
271,1,271,99.71,198.86,302.24,249.97,148.43,224.91
272,1,272,99.68,198.67,302.63,249.74,148.46,224.93
273,1,273,99.65,198.31,303.1,249.72,148.75,225.01
274,1,274,99.53,198.16,303.77,250.51,148.71,225.33
275,1,275,99.44,197.8,304.56,250.83,148.76,225.54
276,1,276,99.33,197.22,304.14,250.89,148.95,225.36
277,1,277,99.21,197.16,304.54,250.64,149.11,225.43
278,1,278,99.35,197.36,304.37,249.64,148.84,225.11
279,1,279,99.38,197.43,303.71,249.05,148.48,224.74
280,1,280,99.47,197.33,304.37,248.87,148.17,224.77
281,1,281,99.38,197.04,303.32,249.25,147.92,224.46
282,1,282,99.34,196.91,302.41,249.05,148.13,224.21
283,1,283,99.3,196.74,302.66,249.13,147.59,224.12
284,1,284,99.2,196.47,302.03,248.95,147.44,223.8
285,1,285,99.22,196.63,302.13,249.06,148.17,224.08
286,1,286,99.27,196.29,301.21,248.84,148.09,223.7
287,1,287,99.25,196.76,301.22,249.32,147.75,223.85
288,1,288,99.26,196.96,300.65,250.1,147.82,223.96
289,1,289,99.22,197.32,300.88,250.6,147.34,224.1
290,1,290,99.29,197.43,301.31,250.49,147.32,224.21
291,1,291,99.31,197.55,301.64,250.14,147,224.16
292,1,292,99.36,197.6,301.86,250.95,147.43,224.55
293,1,293,99.4,197.97,300.56,250.05,147.5,224.11
294,1,294,99.47,198.21,301.28,250.65,147.39,224.48
295,1,295,99.51,198.64,300.56,250.52,147.51,224.41
296,1,296,99.53,198.73,300.08,248.91,147.54,223.92
297,1,297,99.6,198.92,299.67,249.19,147.8,223.98
298,1,298,99.68,199.08,299.98,249.36,147.41,224.05
299,1,299,99.73,199.13,299.41,249.01,147.48,223.84
300,1,300,99.82,199.2,298.92,249.3,147.77,223.88
301,1,301,99.8,199.57,299.02,249.52,147.52,223.99
302,1,302,99.81,199.58,298.15,249.04,147.53,223.66
303,1,303,99.68,198.86,297.98,250.43,147.39,223.75
304,1,304,99.68,199.25,298.7,250.48,147.25,224
305,1,305,99.67,198.96,298.9,250.32,147.25,223.93
306,1,306,99.57,198.91,300.55,249.72,147.32,224.21
307,1,307,99.55,199.07,300.08,249.29,147.59,224.09
308,1,308,99.53,198.84,300.56,249.38,147.25,224.09
309,1,309,99.56,198.89,300.95,248.98,147.23,224.09
310,1,310,99.46,198.68,301.26,249.41,147.49,224.3
311,1,311,99.39,198.51,301.15,249.98,147.77,224.44
312,1,312,99.41,198.82,300.45,249.15,148.26,224.26
313,1,313,99.37,198.48,301.06,248.92,147.71,224.13
314,1,314,99.42,198.69,301.35,249.72,147.68,224.45
315,1,315,99.43,198.35,302.13,250.48,147.38,224.68
316,1,316,99.43,198.51,302.66,250.75,147.88,225.04
317,1,317,99.42,198.34,303,250.91,147.83,225.11
318,1,318,99.23,197.72,303.37,252.06,148.64,225.55
319,1,319,99.08,197.69,303,251.64,148.63,225.34
320,1,320,99.11,197.55,303.26,251.47,148.97,225.41
321,1,321,98.92,196.92,303.67,250.87,148.84,225.18
322,1,322,98.97,196.86,303.42,250.88,148.96,225.13
323,1,323,99.02,197.16,302.86,251.41,148.94,225.19
324,1,324,99.14,197.33,302.34,250.95,148.78,224.94
325,1,325,99.25,197.48,302.02,252.04,148.81,225.19
326,1,326,99.23,197.49,300.98,251.36,148.57,224.69
327,1,327,99.17,197.27,301.45,250.3,148.51,224.47
328,1,328,99.08,197,301.4,249.64,148.35,224.19
329,1,329,99.12,197.27,300.92,249.59,148.27,224.1
330,1,330,99.04,197.09,300.79,249.59,148.32,224.04
331,1,331,99.06,197.02,299.94,249.28,148.41,223.74
332,1,332,99.14,197.31,299.36,248.4,148.47,223.45
333,1,333,99.09,197.52,299.13,248.78,148.75,223.6
334,1,334,98.96,197.21,299.12,248.92,148.87,223.59
335,1,335,99,197.33,298.26,248.3,148.99,223.28
336,1,336,98.96,197.34,298.23,248.31,148.64,223.19
337,1,337,98.94,197.25,298.08,248.1,148.09,222.94
338,1,338,98.95,197.24,298.88,247.7,148.29,223.1
339,1,339,98.99,197.34,298.49,248.97,147.99,223.28
340,1,340,98.95,197.43,298.05,248.95,147.93,223.18
341,1,341,98.99,197.2,298.19,249.35,148.24,223.34
342,1,342,99.16,197.62,297.6,248.28,148.62,223.11
343,1,343,99.17,197.49,298.4,247.63,148.72,223.13
344,1,344,99.21,197.57,298.81,247.98,148.63,223.32
345,1,345,99.27,197.57,298.27,248.15,148.5,223.2
346,1,346,99.28,197.52,298.17,246.23,148.74,222.75
347,1,347,99.26,197.77,297.39,246.05,148.57,222.53
348,1,348,99.17,197.64,298.18,246.24,148.48,222.72
349,1,349,99.12,197.57,298.34,246.52,148.55,222.84
350,1,350,99.08,197.19,297.61,246.41,148.82,222.62
351,1,351,99.11,197.42,297.14,246.33,148.8,222.52
352,1,352,99.14,197.35,297.38,247.75,148.37,222.81
353,1,353,99.08,197.21,297.01,248.76,147.92,222.82
354,1,354,99.09,197.02,296.78,249.14,148.25,222.9
355,1,355,99.2,197.25,297.43,247.99,148.2,222.82
356,1,356,99.21,197.69,298.6,248.56,147.62,223.21
357,1,357,99.18,197.61,297.83,248.37,147.5,222.92
358,1,358,99.1,197.44,297.49,248.79,147.47,222.9
359,1,359,99.06,197.37,297.21,248.26,146.86,222.51
360,1,360,98.98,197.06,297.98,247.81,146.93,222.53
361,1,361,99,197.05,297.39,247.34,147.26,222.35
362,1,362,98.98,196.97,297.19,247.5,147.47,222.36
363,1,363,98.81,196.42,296.04,248.2,147.07,222.01
364,1,364,98.79,196.65,296.29,248.12,146.84,222.05
365,1,365,98.94,197.1,297.33,247.5,147.31,222.37
366,1,366,98.91,197.23,297.52,247.29,147.59,222.46
367,1,367,98.74,196.41,297.38,247.65,147.88,222.38
368,1,368,98.76,196.23,296.34,246.98,147.63,221.84
369,1,369,98.6,196.3,296.24,247.61,147.59,221.99
370,1,370,98.5,195.98,296.36,248.04,147.68,222.05
371,1,371,98.59,196.08,296.27,247.94,147.38,221.97
372,1,372,98.56,196.08,295.05,248.49,146.78,221.66
373,1,373,98.51,196.04,295.57,247.14,146.48,221.36
374,1,374,98.43,195.87,294.95,246.52,145.86,220.84
375,1,375,98.37,195.79,295.19,246.84,146.13,221.02
376,1,376,98.44,195.74,295.06,245.31,146.18,220.6
377,1,377,98.54,195.68,294.87,245.33,146.14,220.53
378,1,378,98.56,196.07,293.98,245.33,145.78,220.31
379,1,379,98.54,196.14,293.28,244.63,145.76,219.98
380,1,380,98.68,196.33,292.61,244.58,145.73,219.82
381,1,381,98.77,196.54,292.65,245.04,146.08,220.09
382,1,382,98.8,196.99,292.28,244.93,146.34,220.15
383,1,383,98.74,196.8,292.79,246.54,146.28,220.6
384,1,384,98.76,196.89,293.55,246.45,146.61,220.88
385,1,385,98.84,196.78,293.34,246.9,146.95,221
386,1,386,98.82,196.55,292.22,247.12,147.03,220.74
387,1,387,98.78,196.46,292.48,246.64,146.9,220.62
388,1,388,98.91,196.52,292.74,246.26,147.3,220.7
389,1,389,99.02,196.73,292.75,247.16,147.53,221.04
390,1,390,99.08,197.08,291.95,247.53,147.28,220.96
0,2,0,99.37,195.41,289.72,248.41,147.59,220.28
1,2,1,99.36,195.22,288.96,249.89,147.73,220.45
2,2,2,99.39,194.79,289.79,249.26,148.22,220.51
3,2,3,99.24,194.95,289.03,250.2,148.11,220.57
4,2,4,99.23,194.65,289.12,250.1,147.77,220.41
5,2,5,99.31,194.9,290.15,250.55,147.52,220.78
6,2,6,99.21,194.62,290,251.22,147.64,220.89
7,2,7,99.28,195.02,288.53,250.55,148.14,220.57
8,2,8,99.28,195.14,288.09,251.14,148.21,220.63
9,2,9,99.12,194.45,287.61,250.76,148.52,220.32
10,2,10,99.28,194.83,287.64,250.16,148.53,220.28
11,2,11,99.32,194.87,288.3,250.3,148.64,220.53
12,2,12,99.39,194.72,287.26,248.3,148.59,219.71
13,2,13,99.4,194.6,286.48,247.83,148.27,219.29
14,2,14,99.43,195.09,285.92,247.44,148.12,219.13
15,2,15,99.52,195.17,285.64,247.42,148.14,219.09
16,2,16,99.63,195.47,285.24,248.27,148.27,219.29
17,2,17,99.71,195.5,285.91,248.66,148.12,219.54
18,2,18,99.52,195.2,286.12,248.1,148.2,219.4
19,2,19,99.48,194.92,286.59,248.85,148.05,219.61
20,2,20,99.54,194.97,286.45,248.62,147.66,219.44
21,2,21,99.75,195.51,285.47,249.13,148.12,219.57
22,2,22,99.74,195.69,284.96,249.21,148.15,219.51
23,2,23,99.68,195.54,285.59,249.68,148.09,219.73
24,2,24,99.71,195.6,286.08,250.2,148.31,220.05
25,2,25,99.57,195.37,285.88,249.6,148,219.72
26,2,26,99.75,195.44,285.95,250.37,147.18,219.75
27,2,27,99.7,194.92,285.29,249.69,146.99,219.22
28,2,28,99.68,194.36,285.42,248.99,146.4,218.78
29,2,29,99.82,194.9,284.88,249.43,146.61,218.96
30,2,30,99.87,195.19,284.68,250.1,146.65,219.16
31,2,31,99.82,195.34,284.54,250.83,146.71,219.37
32,2,32,99.76,195.25,285.19,249.87,146.28,219.16
33,2,33,99.81,195.46,284.88,250.3,146.4,219.27
34,2,34,100.01,195.91,285.45,250.51,146.23,219.53
35,2,35,99.99,195.8,284.56,250.03,145.9,219.07
36,2,36,99.93,195.65,284.21,250.12,145.37,218.85
37,2,37,99.9,196.13,284.75,250.95,145.38,219.3
38,2,38,99.76,195.65,285.45,251.91,145.35,219.59
39,2,39,99.74,195.36,285.72,252.1,145.65,219.71
40,2,40,99.66,194.97,286.01,252.21,145.55,219.69
41,2,41,99.74,195.32,286.09,253.16,145.49,220.02
42,2,42,99.68,195.2,285.62,252.8,145.21,219.72
43,2,43,99.65,195.04,284.22,253.68,145.06,219.52
44,2,44,99.59,194.66,283.71,253.78,145.31,219.39
45,2,45,99.65,194.58,283.26,253.57,145.65,219.3
46,2,46,99.74,195.1,284.03,252.58,145.63,219.38
47,2,47,99.81,195.38,284.52,252.31,146.02,219.6
48,2,48,100.04,195.83,284.39,252.36,145.54,219.57
49,2,49,100.17,195.77,283.72,252.93,145.42,219.5
50,2,50,100.28,195.88,283.29,253.64,145.35,219.57
51,2,51,100.29,196.09,283.16,254.14,144.93,219.62
52,2,52,100.41,196.6,282.58,252.74,145.04,219.28
53,2,53,100.39,196.81,283.06,252.8,144.85,219.43
54,2,54,100.38,196.52,282.78,251.63,144.77,218.96
55,2,55,100.45,196.69,283.02,251.13,144.96,218.98
56,2,56,100.39,196.71,282.79,251.67,144.82,219.04
57,2,57,100.35,196.78,282.39,251.96,144.86,219.04
58,2,58,100.28,196.45,282.91,252.77,145.04,219.34
59,2,59,100.16,196.48,283.07,252.46,145.37,219.4
60,2,60,100.1,196.34,283.63,253.06,145.24,219.63
61,2,61,100.19,196.87,284.56,251.92,145.11,219.68
62,2,62,100.29,197.16,284.08,251.76,145.15,219.6
63,2,63,100.37,197.36,284.88,251.54,145.32,219.82
64,2,64,100.42,197.69,284.74,251.53,145.53,219.92
65,2,65,100.4,197.66,285.22,252.24,145.95,220.32
66,2,66,100.44,197.36,284.73,251.27,146.28,219.97
67,2,67,100.47,197.49,284.23,250.92,146.1,219.74
68,2,68,100.47,197.51,284.1,251.1,146.05,219.75
69,2,69,100.53,197.42,284.31,250.6,146.05,219.66
70,2,70,100.63,197.57,284.85,250.91,145.32,219.71
71,2,71,100.63,197.53,284.93,250.39,145.29,219.59
72,2,72,100.63,197.73,284.38,250.38,145,219.41
73,2,73,100.47,197.2,283.93,250.64,144.68,219.15
74,2,74,100.5,197.2,284.05,250.1,144.67,219.04
